product_id,product_name,description,product_category,unit_price
2001,Man shirt,stripes,Summer wear,35
2002,Woman Skirt,pencil type,Summer wear,45.99
2003,Wrist watch,chain,Assessories,120
2004,Winter jacket,fur,Winter wear,50.3
2005,sneaker,sporty,Foot wear,70
2006,Boots,leather,Foot wear,150
2007,Face caps,cotton,Caps,70
2008,Hats,Cotten synthetic,Caps,50
2009,Singlets,spandex,Underwear,10
2010,Boxers,cotton,Underwear,8
2011,Men pants,polyster,Casual wear,38.99
2012,Glasses,rubber,Accessories,80
2013,G-string,satin,Underwear,27.5
2014,Bra,lace,Sports wear,30
2015, Women lingerie,spanet,Underwear,75
2016,Biker shorts,spandex,Sports wear,65
2017,Sweat pants,cotton fleece,Casual wear,59
2018,Pullover,wool,Casual wear,60
2019,Jeans trouser,strong cotten,Casual wear,115
2020,Travel bags,ballistic nylon,Luggage,350
2021,Women purse,ballistic nylon,Accessories,200
2022,Back pack,Nylon,Luggage,150
2023,Duffel bag,leather,Luggage,600
2024,unisex handbag,leather,Luggage,900
2025,Men crossbag,ballistic nylon,Accessories,45
2026,G-shock watch,metal and resins,Accessories,130
2027,Men suits,cashmere,Cooperate wear,550
2028,Suit for women,silk,Cooperate wear,750
2029,V-neck shirts,wool,Casual wear,85
2030,Jean jackets,strong cotten,Summer wear,800
2031,T-shirts,wools,Casual wear,250
2032,Vintage shirts,linen,Summer wear,1500
2033,Ankara shorts,cotton,Casual wear,780
2034,Bandana,cotton,Accessories,150
2035,Towels,cotton,Bath towel,280
2036,Track suits,Cotten synthetic,Sports wear,1350
2037,Hankerchiefs,cotton,Handkerchief,75
2038,Socks,Cotten synthetic,Foot wear,25
2039,Men purse,leather,Accessories,1800
2040,Leggins,cotton fleece,Casual wear,250
2041,Swimming trunks,Cotten synthetic,Sports wear,1150
2042,leather slippers,leather,Foot wear,500
2043,Men stud,titanium stainless steel,Accessories,1000
2044,Pams slippers,leather,Foot wear,499
2045,Nose rings,titanium stainless steel,Accessories,299
2046,Bracelets,titanium stainless steel,Accessories,399
2047,Ladies shoes,leather,Foot wear,900
2048,women sandals,leather,Foot wear,450
2049,Ladies slippers,synthetic leather,Foot wear,249.99
2050,Men office shoes,leather,Foot wear,870
